tx,stim,Well,OD_450,OD_540,OD_570,Name,PB_30,PB_24,corrected,loganswer,conc,below,above
water1,stim,E8,0.664,0.049,0.043,water1_stim,187,2706,0.615,1.6887097972348522,22.73255033011736,FALSE,FALSE
water2,stim,F8,0.665,0.05,0.044,water2_stim,185,2299,0.615,1.6887097972348522,22.73255033011736,FALSE,FALSE
85R1,stim,A9,0.677,0.051,0.045,85R1_stim,205,3310,0.626,1.657488341891524,19.34518983109098,FALSE,FALSE
85R2,stim,B9,0.676,0.051,0.045,85R2_stim,211,3433,0.625,1.6603339261540706,19.64393373360434,FALSE,FALSE
86R1,stim,C9,0.718,0.052,0.046,86R1_stim,207,3222,0.6659999999999999,1.5420130261818878,8.734732367139106,FALSE,FALSE
86R2,stim,D9,0.685,0.051,0.045,86R2_stim,190,3061,0.634,1.6346642259623196,17.01851380154049,FALSE,FALSE
water1,stim,E9,0.654,0.05,0.044,water1_stim,209,2600,0.604,1.7197804832525283,26.354182069111122,FALSE,FALSE
water2,stim,F9,0.699,0.049,0.043,water2_stim,195,2337,0.6499999999999999,1.588646110957238,12.683376724230538,FALSE,FALSE
85R1,stim,A10,0.66,0.051,0.045,85R1_stim,200,3320,0.609,1.7056736678472812,24.677731162637595,FALSE,FALSE
85R2,stim,B10,0.69,0.051,0.045,85R2_stim,210,3377,0.6389999999999999,1.6203405783272438,15.619598555582453,FALSE,FALSE
86R1,stim,C10,0.7,0.05,0.044,86R1_stim,203,3317,0.6499999999999999,1.588646110957238,12.683376724230538,FALSE,FALSE
86R2,stim,D10,0.706,0.051,0.045,86R2_stim,184,3161,0.6549999999999999,1.5741465980034755,11.409915787579475,FALSE,FALSE
water1,stim,E10,0.67,0.048,0.042,water1_stim,210,2639,0.622,1.6688615273710161,20.55101725039823,FALSE,FALSE
water2,stim,F10,0.727,0.048,0.042,water2_stim,187,2320,0.6789999999999999,1.5035583896675162,5.782898089077271,FALSE,FALSE
85R1,stim,A11,0.698,0.051,0.045,85R1_stim,204,3217,0.6469999999999999,1.5973167649908695,13.465465759798736,FALSE,FALSE
85R2,stim,B11,0.73,0.052,0.045,85R2_stim,205,3279,0.6779999999999999,1.5065368824235819,6.002310264848322,FALSE,FALSE
86R1,stim,C11,0.692,0.051,0.045,86R1_stim,163,2768,0.6409999999999999,1.614597337426312,15.071517432582727,FALSE,FALSE
86R2,stim,D11,0.752,0.051,0.045,86R2_stim,175,2810,0.701,1.4370230745482253,1.2540966290119862,FALSE,FALSE
water1,stim,E11,0.693,0.051,0.045,water1_stim,200,2462,0.6419999999999999,1.6117226266415703,14.799891880611366,FALSE,FALSE
water2,stim,F11,0.715,0.05,0.044,water2_stim,180,2212,0.6649999999999999,1.5449485978047683,8.97099226308298,FALSE,FALSE
85R1,stim,A12,0.731,0.052,0.047,85R1_stim,207,3152,0.6789999999999999,1.5035583896675162,5.782898089077271,FALSE,FALSE
85R2,stim,B12,0.729,0.051,0.045,85R2_stim,195,3149,0.6779999999999999,1.5065368824235819,6.002310264848322,FALSE,FALSE
86R1,stim,C12,0.714,0.052,0.045,86R1_stim,183,2809,0.6619999999999999,1.5537375292553484,9.687964337304155,FALSE,FALSE
86R2,stim,D12,0.794,0.052,0.045,86R2_stim,191,2908,0.742,1.3061738080900736,-5.861754261302252,FALSE,FALSE
water1,stim,E12,0.787,0.051,0.044,water1_stim,194,2328,0.736,1.326027114964376,-4.915109969092885,FALSE,FALSE
water2,stim,F12,0.743,0.05,0.044,water2_stim,194,2292,0.693,1.4614558442184162,2.837111958383062,FALSE,FALSE
